BoroCode,BoroName,CountyFIPS,NTACode,NTAName
3,Brooklyn,47,BK25,Homecrest
1,Manhattan,61,MN35,Washington Heights North
4,Queens,81,QN72,Steinway
2,Bronx,5,BX39,Mott Haven-Port Morris
3,Brooklyn,47,BK23,West Brighton
1,Manhattan,61,MN03,Central Harlem North-Polo Grounds
4,Queens,81,QN68,Queensbridge-Ravenswood-Long Island City
5,Staten Island,85,SI45,New Dorp-Midland Beach
2,Bronx,5,BX28,Van Cortlandt Village
2,Bronx,5,BX13,Co-op City
3,Brooklyn,47,BK31,Bay Ridge
3,Brooklyn,47,BK32,Sunset Park West
3,Brooklyn,47,BK68,Fort Greene
1,Manhattan,61,MN24,SoHo-TriBeCa-Civic Center-Little Italy
1,Manhattan,61,MN25,Battery Park City-Lower Manhattan
1,Manhattan,61,MN15,Clinton
3,Brooklyn,47,BK64,Prospect Heights
4,Queens,81,QN76,Baisley Park
4,Queens,81,QN01,South Jamaica
4,Queens,81,QN56,Ozone Park
3,Brooklyn,47,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin
3,Brooklyn,47,BK19,Brighton Beach
3,Brooklyn,47,BK29,Bensonhurst East
2,Bronx,5,BX08,West Farms-Bronx River
3,Brooklyn,47,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
2,Bronx,5,BX59,Westchester-Unionport
5,Staten Island,85,SI25,Oakwood-Oakwood Beach
5,Staten Island,85,SI08,Grymes Hill-Clifton-Fox Hills
3,Brooklyn,47,BK37,Park Slope-Gowanus
5,Staten Island,85,SI37,Stapleton-Rosebank
4,Queens,81,QN41,Fresh Meadows-Utopia
4,Queens,81,QN43,Bellerose
3,Brooklyn,47,BK35,Stuyvesant Heights
3,Brooklyn,47,BK90,East Williamsburg
4,Queens,81,QN20,Ridgewood
1,Manhattan,61,MN33,East Harlem South
4,Queens,81,QN18,Rego Park
1,Manhattan,61,MN34,East Harlem North
3,Brooklyn,47,BK77,Bushwick North
3,Brooklyn,47,BK78,Bushwick South
1,Manhattan,61,MN11,Central Harlem South
4,Queens,81,QN23,College Point
1,Manhattan,61,MN17,Midtown-Midtown South
4,Queens,81,QN19,Glendale
5,Staten Island,85,SI11,Charleston-Richmond Valley-Tottenville
5,Staten Island,85,SI99,park-cemetery-etc-Staten Island
5,Staten Island,85,SI05,New Springville-Bloomfield-Travis
5,Staten Island,85,SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill
4,Queens,81,QN55,South Ozone Park
4,Queens,81,QN57,Lindenwood-Howard Beach
3,Brooklyn,47,BK60,Prospect Lefferts Gardens-Wingate
1,Manhattan,61,MN20,Murray Hill-Kips Bay
5,Staten Island,85,SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville
3,Brooklyn,47,BK63,Crown Heights South
3,Brooklyn,47,BK09,Brooklyn Heights-Cobble Hill
5,Staten Island,85,SI28,Port Richmond
4,Queens,81,QN31,Hunters Point-Sunnyside-West Maspeth
2,Bronx,5,BX01,Claremont-Bathgate
2,Bronx,5,BX37,Van Nest-Morris Park-Westchester Square
2,Bronx,5,BX49,Pelham Parkway
2,Bronx,5,BX41,Mount Hope
4,Queens,81,QN47,Ft. Totten-Bay Terrace-Clearview
4,Queens,81,QN49,Whitestone
1,Manhattan,61,MN19,Turtle Bay-East Midtown
1,Manhattan,61,MN31,Lenox Hill-Roosevelt Island
4,Queens,81,QN50,Elmhurst-Maspeth
4,Queens,81,QN63,Woodside
4,Queens,81,QN08,St. Albans
4,Queens,81,QN66,Laurelton
1,Manhattan,61,MN04,Hamilton Heights
4,Queens,81,QN61,Jamaica
4,Queens,81,QN54,Richmond Hill
4,Queens,81,QN35,Briarwood-Jamaica Hills
4,Queens,81,QN60,Kew Gardens
4,Queens,81,QN21,Middle Village
4,Queens,81,QN30,Maspeth
1,Manhattan,61,MN12,Upper West Side
1,Manhattan,61,MN14,Lincoln Square
2,Bronx,5,BX07,Bronxdale
4,Queens,81,QN42,Oakland Gardens
4,Queens,81,QN45,Douglas Manor-Douglaston-Little Neck
5,Staten Island,85,SI01,Annadale-Huguenot-Prince's Bay-Eltingville
5,Staten Island,85,SI54,Great Kills
3,Brooklyn,47,BK21,Seagate-Coney Island
4,Queens,81,QN25,Corona
2,Bronx,5,BX52,Schuylerville-Throgs Neck-Edgewater Park
3,Brooklyn,47,BK26,Gravesend
2,Bronx,5,BX17,East Tremont
2,Bronx,5,BX22,North Riverdale-Fieldston-Riverdale
2,Bronx,5,BX05,Bedford Park-Fordham North
2,Bronx,5,BX06,Belmont
2,Bronx,5,BX03,Eastchester-Edenwald-Baychester
4,Queens,81,QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
2,Bronx,5,BX75,Crotona Park East
5,Staten Island,85,SI32,Rossville-Woodrow
5,Staten Island,85,SI48,Arden Heights
4,Queens,81,QN15,Far Rockaway-Bayswater
2,Bronx,5,BX09,Soundview-Castle Hill-Clason Point-Harding Park
2,Bronx,5,BX99,park-cemetery-etc-Bronx
3,Brooklyn,47,BK33,Carroll Gardens-Columbia Street-Red Hook
1,Manhattan,61,MN99,park-cemetery-etc-Manhattan
4,Queens,81,QN05,Rosedale
4,Queens,81,QN22,Flushing
4,Queens,81,QN62,Queensboro Hill
1,Manhattan,61,MN13,Hudson Yards-Chelsea-Flatiron-Union Square
1,Manhattan,61,MN21,Gramercy
3,Brooklyn,47,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
3,Brooklyn,47,BK69,Clinton Hill
3,Brooklyn,47,BK72,Williamsburg
3,Brooklyn,47,BK99,park-cemetery-etc-Brooklyn
1,Manhattan,61,MN36,Washington Heights South
2,Bronx,5,BX26,Highbridge
2,Bronx,5,BX63,West Concourse
4,Queens,81,QN17,Forest Hills
4,Queens,81,QN99,park-cemetery-etc-Queens
4,Queens,81,QN03,Springfield Gardens South-Brookville
4,Queens,81,QN98,Airport
